,Kraftraeder insgesamt,Kraftraeder zweirädrige Kfz,Kraftraeder dreirädrige Kfz,Kraftraeder leichte vierrädrige Kfz,Kraftraeder darunter weibliche Halter,PKW insgesamt,PKW Hubraum bis 1399,PKW Hubraum 1400 bis 1999,PKW Hubraum 2000 und mehr,PKW Hubraum unbekannt,PKW mit Elektromotor,PKW mit offenem Aufbau,PKW mit Allradantrieb,PKW Wohnmobile,PKW Krankenwagen oder Notarzt,PKW gewerbliche Halter,PKW weibliche Halter,PKW Dichte (je 1 000 Einwohner),Kraftomnibusse,LKW insgesamt,LKW Gesamtmasse bis 2800,LKW Gesamtmasse 2801 bis 3500,LKW Gesamtmasse 3501 bis 5000,LKW Gesamtmasse 5001 bis 7500,LKW Gesamtmasse 7501 bis 12000,LKW Gesamtmasse 12001 bis 20000,LKW Gesamtmasse 20001 und mehr,LKW Gesamtmasse unbekannt,Zugmaschinen insgesamt,Sattelzugmaschinen,land- oder forst- wirtschaftliche Zugmaschinen,Zugmaschinen unter Spalte 31 leichte Zugmaschinen,Sonstige Kfz,Nutzfahrzeuge insgesamt,Kraftfahrzeuge insgesamt,Kraftfahrzeuge Dichte (je 1000 Einwohner),Kraftfahrzeuganhänger,PKW Insgesamt,PKW Benzin,PKW Diesel,PKW Gas insgesamt,PKW Gas dar Erdgas,PKW sonstige Energiequelle,PKW Emissionsgruppe Euro 1,PKW Emissionsgruppe Euro 2,PKW Emissionsgruppe Euro 3,PKW Emissionsgruppe Euro 4,PKW Emissionsgruppe Euro 5,PKW Emissionsgruppe Euro 6,PKW Emissionsgruppe sonstige,PKW Emissionsgruppe schadstoffreduzierte insgesamt,PKW ohne Emissionsgruppe,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 1,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 2,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 3,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 4,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 5,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 6,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen sonstige,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen schadstoffreduzierte mit Dieselantrieb insgesamt,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen ohne Emissionsgruppe
,1 (table 1),2 (table 1),3 (table 1),4 (table 1),5 (table 1),6 (table 1),7 (table 1),8 (table 1),9 (table 1),10 (table 1),11 (table 1),12 (table 1),13 (table 1),14 (table 1),15 (table 1),16 (table 1),17 (table 1),18 (table 1),19 (table 1),20 (table 1),21 (table 1),22 (table 1),23 (table 1),24 (table 1),25 (table 1),26 (table 1),27 (table 1),28 (table 1),29 (table 1),30 (table 1),31 (table 1),32 (table 1),33 (table 1),34 (table 1),35 (table 1),36 (table 1),37 (table 1),1 (table 2),2 (table 2),3 (table 2),4 (table 2),5 (table 2),6 (table 2),7 (table 2),8 (table 2),9 (table 2),10 (table 2),11 (table 2),12 (table 2),13 (table 2),14 (table 2),15 (table 2),16 (table 2),17 (table 2),18 (table 2),19 (table 2),20 (table 2),21 (table 2),22 (table 2),23 (table 2),24 (table 2)
Berlin,,,,,,1149520,,,,,,,,,,,,328,,81085,,,,,,,,,,,,,,,1344876,384,,,879752,248543,,,4657,56948,227817,177838,445819,222607,2204,2621,1135854,,,,,,,,,,
Hamburg,,,,,,738610,,,,,,,,,,,,411,,48254,,,,,,,,,,,,,,,850335,473,,,505121,225682,,,1674,28744,119399,105282,272529,194579,2097,3912,726542,,,,,,,,,,
München (09162),,,,,,674394,,,,,,,,,,,,489,,31259,,,,,,,,,,,,,,,771625,560,,,414201,254025,,,2263,26717,90768,88775,222913,218484,2635,8297,658589,,,,,,,,,,
Köln (05315),,,,,,445134,,,,,,,,,,,,438,,26226,,,,,,,,,,,,,,,511906,503,,,298983,139311,,,1659,19264,73311,67797,165743,104242,613,2127,433097,,,,,,,,,,
Frankfurt am Main (06412),,,,,,313385,,,,,,,,,,,,453,,20372,,,,,,,,,,,,,,,356757,516,,,187159,122434,,,946,12440,45577,39782,105253,102374,862,1011,307299,,,,,,,,,,
Stuttgart (08111),,,,,,281351,,,,,,,,,,,,459,,12613,,,,,,,,,,,,,,,319631,521,,,182981,95234,,,1241,9685,45078,38462,99204,82188,1915,657,277189,,,,,,,,,,
Düsseldorf (05111),,,,,,289306,,,,,,,,,,,,488,,15464,,,,,,,,,,,,,,,331679,560,,,181101,104123,,,690,12542,44769,40074,101290,83142,854,1408,284079,,,,,,,,,,
Leipzig (14713),,,,,,203571,,,,,,,,,,,,383,,13570,,,,,,,,,,,,,,,230691,434,,,157598,42717,,,646,7670,35009,32276,85499,40892,236,453,1536,,,,,,,,,,
Dortmund,,,,,,290036,,,,,,,,,,,,449,,12805,,,,,,,,,,,,,,,299285,515,,,189923,66955,,,411,11200,49374,41292,103830,50289,345,1138,257468,,,,,,,,,,
Essen,,,,,,268827,,,,,,,,,,,,469,,15043,,,,,,,,,,,,,,,307943,537,,,196104,67534,,,414,11182,43567,40868,107429,57776,392,540,265889,,,,,,,,,,
