,Kraftraeder insgesamt,Kraftraeder zweirädrige Kfz,Kraftraeder dreirädrige Kfz,Kraftraeder leichte vierrädrige Kfz,Kraftraeder darunter weibliche Halter,PKW insgesamt,PKW Hubraum bis 1399,PKW Hubraum 1400 bis 1999,PKW Hubraum 2000 und mehr,PKW Hubraum unbekannt,PKW mit Elektromotor,PKW mit offenem Aufbau,PKW mit Allradantrieb,PKW Wohnmobile,PKW Krankenwagen oder Notarzt,PKW gewerbliche Halter,PKW weibliche Halter,PKW Dichte (je 1 000 Einwohner),Kraftomnibusse,LKW insgesamt,LKW Gesamtmasse bis 2800,LKW Gesamtmasse 2801 bis 3500,LKW Gesamtmasse 3501 bis 5000,LKW Gesamtmasse 5001 bis 7500,LKW Gesamtmasse 7501 bis 12000,LKW Gesamtmasse 12001 bis 20000,LKW Gesamtmasse 20001 und mehr,LKW Gesamtmasse unbekannt,Zugmaschinen insgesamt,Sattelzugmaschinen,land- oder forst- wirtschaftliche Zugmaschinen,Zugmaschinen unter Spalte 31 leichte Zugmaschinen,Sonstige Kfz,Nutzfahrzeuge insgesamt,Kraftfahrzeuge insgesamt,Kraftfahrzeuge Dichte (je 1000 Einwohner),Kraftfahrzeuganhänger,PKW Insgesamt,PKW Benzin,PKW Diesel,PKW Gas insgesamt,PKW Gas dar Erdgas,PKW sonstige Energiequelle,PKW Emissionsgruppe Euro 1,PKW Emissionsgruppe Euro 2,PKW Emissionsgruppe Euro 3,PKW Emissionsgruppe Euro 4,PKW Emissionsgruppe Euro 5,PKW Emissionsgruppe Euro 6,PKW Emissionsgruppe sonstige,PKW Emissionsgruppe schadstoffreduzierte insgesamt,PKW ohne Emissionsgruppe,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 1,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 2,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 3,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 4,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 5,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 6,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen sonstige,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen schadstoffreduzierte mit Dieselantrieb insgesamt,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen ohne Emissionsgruppe
,1 (table 1),2 (table 1),3 (table 1),4 (table 1),5 (table 1),6 (table 1),7 (table 1),8 (table 1),9 (table 1),10 (table 1),11 (table 1),12 (table 1),13 (table 1),14 (table 1),15 (table 1),16 (table 1),17 (table 1),18 (table 1),19 (table 1),20 (table 1),21 (table 1),22 (table 1),23 (table 1),24 (table 1),25 (table 1),26 (table 1),27 (table 1),28 (table 1),29 (table 1),30 (table 1),31 (table 1),32 (table 1),33 (table 1),34 (table 1),35 (table 1),36 (table 1),37 (table 1),1 (table 2),2 (table 2),3 (table 2),4 (table 2),5 (table 2),6 (table 2),7 (table 2),8 (table 2),9 (table 2),10 (table 2),11 (table 2),12 (table 2),13 (table 2),14 (table 2),15 (table 2),16 (table 2),17 (table 2),18 (table 2),19 (table 2),20 (table 2),21 (table 2),22 (table 2),23 (table 2),24 (table 2)
Berlin,102129,100196,960,973,14687,1165215,406628,571216,186351,1020,849,44608,73905,9202,1141,150356,388250,341,2195,85664,40517,29996,1684,5787,3280,1289,3111,0,5475,3429,1274,368,8190,101524,1368868,400,82410,1165215,859426,280281,17658,2996,7940,36806,174647,157555,421673,329153,28070,2488,1150392,14823,1837,17752,48228,77246,121060,10901,1033,278057,2224
Hamburg,52128,51037,389,702,7431,750510,247080,363546,139092,792,673,44330,58705,9681,533,141373,232916,430,1663,50243,22617,18974,811,4159,1366,814,1499,3,6950,3280,2870,254,4473,63329,865967,496,64088,750510,493550,247383,6609,1365,2968,20151,91255,90997,250945,250466,30079,3837,737730,12780,2599,16470,37940,54138,119577,13335,1859,245918,1465
München (09162),60127,59010,592,525,8165,691050,168877,366801,154353,1019,912,44131,90967,7359,254,193725,187764,491,1371,32521,12030,14858,422,2768,813,579,1051,0,4385,695,2343,225,4847,43124,794301,564,39923,691050,406490,276249,4062,955,4249,19081,68388,73814,200127,255819,50064,6632,674645,16405,1765,11504,31544,55002,146381,26454,2430,274969,1280
Köln (05315),35743,34909,399,435,5003,453608,148909,228917,75013,769,715,26662,31428,4061,211,83228,143973,439,910,26760,11489,10464,587,2034,689,534,963,0,2859,1569,884,132,2331,32860,522211,505,29606,453608,294829,150340,5715,470,2744,12964,55579,58031,156656,147283,13368,2057,445938,7670,738,6931,22097,38356,74342,6581,714,149759,561
Frankfurt am Main (06412),20047,19565,237,245,2765,319123,83354,170068,65342,359,299,16744,32703,1342,215,90880,85661,455,539,20898,9896,8351,459,1120,344,290,438,0,1553,314,792,69,1674,24664,363834,519,14087,319123,182556,132096,2918,921,1553,8416,34749,34165,95695,123463,15376,920,312784,6339,311,3948,13196,25910,78624,9399,245,131633,463
Stuttgart (08111),22583,22060,252,271,3159,388622,75605,140022,71867,1128,1061,18817,30107,2013,88,70405,80125,478,652,13722,5617,5490,290,953,319,403,650,0,2696,768,1200,111,1240,18310,329515,545,17048,288622,179164,105178,2015,444,2265,6770,34018,32728,89231,99628,20464,644,283483,5139,226,4858,14132,23744,52901,8797,210,104868,310
Düsseldorf (05111),21713,21234,206,273,2894,294300,82597,153074,58466,163,135,17699,26592,1717,215,76958,83853,492,623,16176,8491,5313,319,1041,446,245,321,0,1468,496,715,51,3664,21931,337944,564,15739,294300,178027,111536,3500,788,1177,8632,34392,33130,92083,108008,11356,1182,288783,5517,411,4697,12832,23354,63407,6053,445,111199,337
Leipzig (14713),11939,11597,68,274,1400,211787,77469,110181,23975,162,142,4395,11259,979,144,23645,70875,398,250,13845,7080,5004,245,566,346,222,382,0,1101,425,502,93,1256,16452,240178,452,19877,211787,158402,49549,2729,602,1107,4847,26782,28105,81500,63599,4642,454,210019,1768,171,2133,7751,14001,,23287,1865,179,162
Dortmund,22571,22116,128,327,3277,267594,98993,130589,37897,115,86,13540,15441,1743,110,21588,94109,465,408,12813,5093,4969,243,1031,486,394,596,1,2008,1100,653,98,877,16106,306271,532,22463,267594,190147,72753,4028,449,666,7316,37730,35400,100116,77052,5447,931,263992,3602,358,3774,12187,21849,31599,2317,385,72469,284
