,Kraftraeder insgesamt,Kraftraeder zweirädrige Kfz,Kraftraeder dreirädrige Kfz,Kraftraeder leichte vierrädrige Kfz,Kraftraeder darunter weibliche Halter,PKW insgesamt,PKW Hubraum bis 1399,PKW Hubraum 1400 bis 1999,PKW Hubraum 2000 und mehr,PKW Hubraum unbekannt,PKW mit Elektromotor,PKW mit offenem Aufbau,PKW mit Allradantrieb,PKW Wohnmobile,PKW Krankenwagen oder Notarzt,PKW gewerbliche Halter,PKW weibliche Halter,PKW Dichte (je 1 000 Einwohner),Kraftomnibusse,LKW insgesamt,LKW Gesamtmasse bis 2800,LKW Gesamtmasse 2801 bis 3500,LKW Gesamtmasse 3501 bis 5000,LKW Gesamtmasse 5001 bis 7500,LKW Gesamtmasse 7501 bis 12000,LKW Gesamtmasse 12001 bis 20000,LKW Gesamtmasse 20001 und mehr,LKW Gesamtmasse unbekannt,Zugmaschinen insgesamt,Sattelzugmaschinen,land- oder forst- wirtschaftliche Zugmaschinen,Zugmaschinen unter Spalte 31 leichte Zugmaschinen,Sonstige Kfz,Nutzfahrzeuge insgesamt,Kraftfahrzeuge insgesamt,Kraftfahrzeuge Dichte (je 1000 Einwohner),Kraftfahrzeuganhänger,PKW Insgesamt,PKW Benzin,PKW Diesel,PKW Gas insgesamt,PKW Gas dar Erdgas,PKW Elektro,PKW Emissionsgruppe Euro 1,PKW Emissionsgruppe Euro 2,PKW Emissionsgruppe Euro 3,PKW Emissionsgruppe Euro 4,PKW Emissionsgruppe Euro 5,PKW Emissionsgruppe Euro 6,PKW Emissionsgruppe sonstige,PKW Emissionsgruppe schadstoffreduzierte insgesamt,PKW ohne Emissionsgruppe,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 1,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 2,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 3,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 4,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 5,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen Euro 6,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen sonstige,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen schadstoffreduzierte mit Dieselantrieb insgesamt,PKW darunter dieselangetriebene Pkw nach Emissionsgruppen ohne Emissionsgruppe
,1 (table 1),2 (table 1),3 (table 1),4 (table 1),5 (table 1),6 (table 1),7 (table 1),8 (table 1),9 (table 1),10 (table 1),11 (table 1),12 (table 1),13 (table 1),14 (table 1),15 (table 1),16 (table 1),17 (table 1),17 this year,19 (table 1),19 this year,21 (table 1),22 (table 1),23 (table 1),24 (table 1),25 (table 1),26 (table 1),27 (table 1),28 (table 1),29 (table 1),30 (table 1),31 (table 1),32 (table 1),33 (table 1),34 (table 1),34 this year,35 this year,37 (table 1),1 (table 2),2 (table 2),3 (table 2),4 (table 2),5 (table 2),6 (NB: This is Elektro - whereas previously the column was sonstige),8 this year,9 this year,10 this year,11 this year,12 this year,13 this year,14 this year,15 this year,15 (table 2),16 (table 2),17 (table 2),18 (table 2),19 (table 2),20 (table 2),21 (table 2),22 (table 2),23 (table 2),24 (table 2)
Berlin,,,,,,1195149,,,,,,,,,,,,344,,93141,,,,,,,,,,,,,,,1409642,406,,,856846,309048,,,1668,26144,131596,133527,388045,329256,167136,2990,1178694,,,,,,,,,,
Hamburg,,,,,,771573,,,,,,,,,,,,438,,54134,,,,,,,,,,,,,,,892367,506,,,494256,266459,,,956,15154,68913,75504,226823,213894,153824,4181,758293,,,,,,,,,,
München (09162),,,,,,722384,,,,,,,,,,,,505,,35381,,,,,,,,,,,,,,,831096,581,,,411560,300255,,,1570,15577,51669,59993,177710,192869,200772,6849,705439,,,,,,,,,,
Köln (05315),,,,,,469677,,,,,,,,,,,,449,,29087,,,,,,,,,,,,,,,542361,518,,,299172,161675,,,506,9306,41906,48377,145061,128226,86742,1964,461582,,,,,,,,,,
Frankfurt am Main (06412),,,,,,329398,,,,,,,,,,,,459,,21677,,,,,,,,,,,,,,,376226,524,,,182927,141663,,,410,6026,26127,28878,87764,93694,79289,1096,322874,,,,,,,,,,
Stuttgart (08111),,,,,,298172,,,,,,,,,,,,487,,15339,,,,,,,,,,,,,,,341858,558,,,182461,111148,,,814,5161,25747,26962,79422,83244,71586,950,293072,,,,,,,,,,
Düsseldorf (05111),,,,,,304410,,,,,,,,,,,,504,,17973,,,,,,,,,,,,,,,350655,580,,,179096,119816,,,259,6429,26308,27777,82889,89816,64102,1159,298380,,,,,,,,,,
Leipzig (14713),,,,,,220026,,,,,,,,,,,,404,,14512,,,,,,,,,,,,,,,250184,459,,,159613,56144,,,170,3340,19898,23293,74836,66014,30062,509,217952,,,,,,,,,,
Dortmund,,,,,,278018,,,,,,,,,,,,479,,13596,,,,,,,,,,,,,,,317570,547,,,1929822,79998,,,140,5204,28275,30341,98244,78532,37690,902,274188,,,,,,,,,,
Essen,,,,,,282160,,,,,,,,,,,,492,,16147,,,,,,,,,,,,,,,323359,564,,,197534,78681,,,155,5030,27500,29352,91235,82909,42277,506,278809,,,,,,,,,,
