"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3"
Baden-Württemberg;DEBW004;Eggenstein;"ländlich stadtnah";Hintergrund;19;9
Baden-Württemberg;DEBW006;Mannheim-Mitte;"städtisches Gebiet";Hintergrund;23;20
Baden-Württemberg;DEBW009;Heidelberg;"städtisches Gebiet";Hintergrund;20;14
Baden-Württemberg;DEBW010;Wiesloch;"vorstädtisches Gebiet";Hintergrund;19;8
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"städtisches Gebiet";Hintergrund;20;11
Baden-Württemberg;DEBW015;Heilbronn;"städtisches Gebiet";Hintergrund;27;28
Baden-Württemberg;DEBW019;Ulm;"städtisches Gebiet";Hintergrund;20;12
Baden-Württemberg;DEBW023;"Weil am Rhein";"vorstädtisches Gebiet";Hintergrund;18;7
Baden-Württemberg;DEBW024;Ludwigsburg;"vorstädtisches Gebiet";Hintergrund;20;9
Baden-Württemberg;DEBW027;Reutlingen;"städtisches Gebiet";Hintergrund;18;8
Baden-Württemberg;DEBW029;Aalen;"vorstädtisches Gebiet";Hintergrund;19;8
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"ländlich regional";Hintergrund;9;1
Baden-Württemberg;DEBW033;Pforzheim;"städtisches Gebiet";Hintergrund;19;10
Baden-Württemberg;DEBW038;Friedrichshafen;"städtisches Gebiet";Hintergrund;19;4
Baden-Württemberg;DEBW039;Villingen-Schwenningen;"vorstädtisches Gebiet";Hintergrund;16;1
Baden-Württemberg;DEBW042;Bernhausen;"vorstädtisches Gebiet";Hintergrund;21;11
Baden-Württemberg;DEBW046;Biberach;"vorstädtisches Gebiet";Hintergrund;20;16
Baden-Württemberg;DEBW052;Konstanz;"städtisches Gebiet";Hintergrund;20;9
Baden-Württemberg;DEBW056;"Schwäbisch Hall";"vorstädtisches Gebiet";Hintergrund;19;10
Baden-Württemberg;DEBW059;Tauberbischofsheim;"vorstädtisches Gebiet";Hintergrund;18;8
Baden-Württemberg;DEBW073;Neuenburg;"vorstädtisches Gebiet";Hintergrund;20;9
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"städtisches Gebiet";Hintergrund;20;14
Baden-Württemberg;DEBW084;Freiburg;"städtisches Gebiet";Hintergrund;17;7
Baden-Württemberg;DEBW087;"Schwäbische Alb";"ländlich regional";Hintergrund;13;0
Baden-Württemberg;DEBW107;Tübingen;"vorstädtisches Gebiet";Hintergrund;19;7
Baden-Württemberg;DEBW112;Gärtringen;"vorstädtisches Gebiet";Hintergrund;17;7
Baden-Württemberg;DEBW005;Mannheim-Nord;"vorstädtisches Gebiet";Industrie;21;14
Baden-Württemberg;DEBW022;Kehl;"vorstädtisches Gebiet";Industrie;22;12
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"städtisches Gebiet";Verkehr;24;18
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"städtisches Gebiet";Verkehr;28;27
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"städtisches Gebiet";Verkehr;31;42
Baden-Württemberg;DEBW116;"Stuttgart Hohenheimer Straße";"städtisches Gebiet";Verkehr;31;38
Baden-Württemberg;DEBW117;"Ludwigsburg Friedrichstraße";"städtisches Gebiet";Verkehr;31;46
Baden-Württemberg;DEBW118;"Stuttgart Am Neckartor";"städtisches Gebiet";Verkehr;40;89
Baden-Württemberg;DEBW120;"Leonberg Grabenstraße";"städtisches Gebiet";Verkehr;30;42
Baden-Württemberg;DEBW121;"Pleidelsheim Beihinger Straße";"städtisches Gebiet";Verkehr;29;42
Baden-Württemberg;DEBW122;"Freiburg Schwarzwaldstraße";"städtisches Gebiet";Verkehr;24;10
Baden-Württemberg;DEBW125;"Pfinztal Karlsruher Straße";"vorstädtisches Gebiet";Verkehr;26;24
Baden-Württemberg;DEBW126;"Karlsruhe Kriegsstraße";"städtisches Gebiet";Verkehr;25;22
Baden-Württemberg;DEBW128;"Mühlacker Stuttgarter Straße";"vorstädtisches Gebiet";Verkehr;28;30
Baden-Württemberg;DEBW133;"Ilsfeld König-Wilhelm-Straße";"vorstädtisches Gebiet";Verkehr;28;37
Baden-Württemberg;DEBW134;"Stuttgart Waiblinger Straße";"städtisches Gebiet";Verkehr;31;54
Baden-Württemberg;DEBW135;"Herrenberg Hindenburger Straße";"städtisches Gebiet";Verkehr;26;18
Baden-Württemberg;DEBW136;"Tübingen Mühlstraße";"städtisches Gebiet";Verkehr;33;53
Baden-Württemberg;DEBW137;"Tübingen Jesinger Hauptstraße";"ländlich stadtnah";Verkehr;28;34
Baden-Württemberg;DEBW138;"Ulm Zinglerstraße";"städtisches Gebiet";Verkehr;29;33
Baden-Württemberg;DEBW142;"Markgröningen Grabenstraße";"vorstädtisches Gebiet";Verkehr;32;55
Baden-Württemberg;DEBW144;"Walzbachtal Bahnhofstraße";"vorstädtisches Gebiet";Verkehr;27;28
Baden-Württemberg;DEBW147;"Reutlingen Lederstraße-Ost";"städtisches Gebiet";Verkehr;37;67
Baden-Württemberg;DEBW148;"Ingersheim Tiefengasse";"vorstädtisches Gebiet";Verkehr;28;37
Baden-Württemberg;DEBW149;"Urbach Hauptstraße";"vorstädtisches Gebiet";Verkehr;27;34
Baden-Württemberg;DEBW150;"Murg Hauptstraße";"vorstädtisches Gebiet";Verkehr;26;28
Baden-Württemberg;DEBW151;"Heidelberg Mittermaierstraße";"städtisches Gebiet";Verkehr;28;26
Baden-Württemberg;DEBW152;"Heilbronn Weinsberger Straße-Ost";"städtisches Gebiet";Verkehr;34;54
Baden-Württemberg;DEBW153;"Ulm Karlstraße";"städtisches Gebiet";Verkehr;30;37
Bayern;DEBY002;Arzberg/Egerstraße;"vorstädtisches Gebiet";Hintergrund;19;16
Bayern;DEBY005;Aschaffenburg/Bussardweg;"vorstädtisches Gebiet";Hintergrund;21;13
Bayern;DEBY007;Augsburg/Bourges-Platz;"städtisches Gebiet";Hintergrund;23;21
Bayern;DEBY009;Bamberg/Löwenbrücke;"städtisches Gebiet";Hintergrund;21;15
Bayern;DEBY012;"Burghausen/Marktler Straße";"vorstädtisches Gebiet";Hintergrund;23;27
Bayern;DEBY013;Mehring/Sportplatz;"ländlich regional";Hintergrund;21;20
Bayern;DEBY030;"Saal a.d. Donau/Regensburger Straße";"vorstädtisches Gebiet";Hintergrund;21;11
Bayern;DEBY031;"Kempten (Allgäu)/Westendstraße";"vorstädtisches Gebiet";Hintergrund;18;6
Bayern;DEBY032;Kulmbach/Konrad-Adenauer-Straße;"städtisches Gebiet";Hintergrund;23;27
Bayern;DEBY039;München/Lothstraße;"städtisches Gebiet";Hintergrund;22;11
Bayern;DEBY047;"Naila/Selbitzer Berg";"ländlich stadtnah";Hintergrund;17;12
Bayern;DEBY049;"Neustadt a.d. Donau/Eining";"ländlich regional";Hintergrund;19;9
Bayern;DEBY052;Neu-Ulm/Gabelsbergerstraße;"städtisches Gebiet";Hintergrund;23;20
Bayern;DEBY062;"Regen/Bodenmaiser Straße";"vorstädtisches Gebiet";Hintergrund;19;7
Bayern;DEBY067;"Schwandorf/Wackersdorfer Straße";"vorstädtisches Gebiet";Hintergrund;22;20
Bayern;DEBY068;Schweinfurt/Obertor;"städtisches Gebiet";Hintergrund;22;16
Bayern;DEBY072;Tiefenbach/Altenschneeberg;"ländlich regional";Hintergrund;14;2
Bayern;DEBY075;"Weiden i.d.OPf./Nikolaistraße";"städtisches Gebiet";Hintergrund;21;18
Bayern;DEBY088;Trostberg/Schwimmbadstraße;"vorstädtisches Gebiet";Hintergrund;20;14
Bayern;DEBY089;München/Johanneskirchen;"vorstädtisches Gebiet";Hintergrund;21;9
Bayern;DEBY093;Sulzbach-Rosenberg/Lohe;"vorstädtisches Gebiet";Hintergrund;23;24
Bayern;DEBY099;Augsburg/LfU;"vorstädtisches Gebiet";Hintergrund;21;11
Bayern;DEBY109;Andechs/Rothenfeld;"ländlich regional";Hintergrund;15;4
Bayern;DEBY113;Erlangen/Kraepelinstraße;"vorstädtisches Gebiet";Hintergrund;20;12
Bayern;DEBY118;Passau/Stelzhamerstraße;"städtisches Gebiet";Hintergrund;25;29
Bayern;DEBY122;"Bad Hindelang/Oberjoch";"ländlich regional";Hintergrund;9;0
Bayern;DEBY001;Ansbach/Residenzstraße;"städtisches Gebiet";Verkehr;24;21
