"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3";"Zahl der Tageswerte über 50 µg/m3 nach Abzug Streusalz etc. *"
Baden-Württemberg;DEBW004;Eggenstein;"ländlich stadtnah";Hintergrund;16;2;-
Baden-Württemberg;DEBW009;Heidelberg;"städtisches Gebiet";Hintergrund;16;3;-
Baden-Württemberg;DEBW010;Wiesloch;"vorstädtisches Gebiet";Hintergrund;16;4;-
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"städtisches Gebiet";Hintergrund;17;3;-
Baden-Württemberg;DEBW015;Heilbronn;"städtisches Gebiet";Hintergrund;20;5;-
Baden-Württemberg;DEBW019;Ulm;"städtisches Gebiet";Hintergrund;17;6;-
Baden-Württemberg;DEBW023;"Weil am Rhein";"vorstädtisches Gebiet";Hintergrund;14;2;-
Baden-Württemberg;DEBW024;Ludwigsburg;"vorstädtisches Gebiet";Hintergrund;17;5;-
Baden-Württemberg;DEBW027;Reutlingen;"städtisches Gebiet";Hintergrund;16;7;-
Baden-Württemberg;DEBW029;Aalen;"vorstädtisches Gebiet";Hintergrund;16;6;-
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"ländlich regional";Hintergrund;9;0;-
Baden-Württemberg;DEBW033;Pforzheim;"städtisches Gebiet";Hintergrund;16;4;-
Baden-Württemberg;DEBW038;Friedrichshafen;"städtisches Gebiet";Hintergrund;16;4;-
Baden-Württemberg;DEBW039;Villingen-Schwenningen;"vorstädtisches Gebiet";Hintergrund;14;1;-
Baden-Württemberg;DEBW042;Bernhausen;"vorstädtisches Gebiet";Hintergrund;17;7;-
Baden-Württemberg;DEBW046;Biberach;"vorstädtisches Gebiet";Hintergrund;16;4;-
Baden-Württemberg;DEBW052;Konstanz;"städtisches Gebiet";Hintergrund;16;3;-
Baden-Württemberg;DEBW059;Tauberbischofsheim;"vorstädtisches Gebiet";Hintergrund;15;4;-
Baden-Württemberg;DEBW073;Neuenburg;"vorstädtisches Gebiet";Hintergrund;16;3;-
Baden-Württemberg;DEBW076;Baden-Baden;"vorstädtisches Gebiet";Hintergrund;13;3;-
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"städtisches Gebiet";Hintergrund;16;2;-
Baden-Württemberg;DEBW084;Freiburg;"städtisches Gebiet";Hintergrund;14;3;-
Baden-Württemberg;DEBW087;"Schwäbische Alb";"ländlich regional";Hintergrund;11;2;-
Baden-Württemberg;DEBW107;Tübingen;"vorstädtisches Gebiet";Hintergrund;16;4;-
Baden-Württemberg;DEBW112;Gärtringen;"vorstädtisches Gebiet";Hintergrund;14;2;-
