,City,Year,Annual mean in µg/m³,PKW insgesamt,PKW Dichte,LKW insgesamt,KFZ insgesamt,KFZ Dichte,PKW Benzin,PKW Diesel,PKW Elektro,PKW Emissionsgruppe Euro 1,PKW Emissionsgruppe Euro 2,PKW Emissionsgruppe Euro 3,PKW Emissionsgruppe Euro 4,PKW Emissionsgruppe Euro 5,PKW Emissionsgruppe Euro 6,PKW Emissionsgruppe sonstige,PKW Emissionsgruppe schadstoffreduzierte insgesamt
0,Berlin,2012,23.583333333333332,1135704,328,78367,1327015,383,886562,230836,,71138,253535,186186,457691,150419,536,2905,1122410
1,Berlin,2013,24.083333333333332,1149520,328,81085,1344876,384,879752,248543,,56948,227817,177838,445819,222607,2204,2621,1135854
2,Berlin,2014,27.09090909090909,1154106,342,82771,1352561,401,866100,264358,,45257,199495,168162,434098,281066,9306,2430,1139814
3,Berlin,2015,23.272727272727273,1165215,341,85664,1368868,400,859426,280281,,36806,174647,157555,421673,329153,28070,2488,1150392
4,Berlin,2016,23.181818181818183,1178417,340,89879,1387733,400,854691,296399,,30721,151390,145941,405673,342831,83363,2699,1162618
5,Berlin,2017,22.454545454545453,1195149,344,93141,1409642,406,856846,309048,1668.0,26144,131596,133527,388045,329256,167136,2990,1178694
6,Berlin,2018,23.545454545454547,1202829,342,96943,1422065,404,863140,307976,2007.0,22417,112777,119537,366516,311836,249216,16951,1471
7,Berlin,2019,19.636363636363637,1210790,335,100659,1434141,397,875664,298450,2713.0,19558,96731,105703,344668,296668,325178,5267,1193773
8,Berlin,2020,17.818181818181817,1221433,335,106639,1452634,399,886950,288648,4886.0,17262,82664,93049,322868,281796,398226,7667,1203532
9,Berlin,2021,19.545454545454547,1234645,336,111551,1474487,402,890077,280762,9085.0,15515,71975,83238,305714,270994,456356,12055,1215847
10,Dortmund,2012,24.333333333333332,258153,445,12827,296337,511,190795,63695,,14176,55115,43643,106485,33815,70,1371,254675
11,Dortmund,2013,25.5,290036,449,12805,299285,515,189923,66955,,11200,49374,41292,103830,50289,345,1138,257468
12,Dortmund,2014,22.666666666666668,263642,461,12724,301920,528,189196,70013,,8895,43040,38675,102135,64861,1573,1007,260186
13,Dortmund,2015,22.0,267594,465,12813,306271,532,190147,72753,,7316,37730,35400,100116,77052,5447,931,263992
14,Dortmund,2016,21.333333333333332,272752,470,13129,311866,537,191097,76761,,6106,32715,33304,97099,80766,18173,905,269068
15,Dortmund,2017,22.333333333333332,278018,479,13596,317570,547,192982,79998,140.0,5204,28275,30341,98244,78532,37690,902,274188
16,Dortmund,2018,21.666666666666668,282290,482,14019,322549,550,196743,80198,224.0,4494,24474,27396,88984,75001,57000,3963,258
17,Dortmund,2019,19.333333333333332,286461,488,14508,327403,558,201981,78188,383.0,3868,20706,24218,84234,72150,76026,1191,282393
18,Dortmund,2020,17.0,291170,496,15250,333066,567,207069,76283,746.0,3378,17294,21051,78919,68544,96186,1570,286942
19,Dortmund,2021,17.0,296263,504,15841,339394,577,207485,76951,1773.0,3037,14514,18657,74854,66434,111719,2626,291841
20,Düsseldorf,2012,25.5,282437,480,14373,322919,548,181871,97015,,15205,49275,42674,108426,59875,258,1544,277257
21,Düsseldorf,2013,24.333333333333332,289306,488,15464,331679,560,181101,104123,,12542,44769,40074,101290,83142,854,1408,284079
22,Düsseldorf,2014,21.666666666666668,291275,491,15777,334344,563,179123,107816,,10263,39313,36768,96259,98618,3494,1221,285936
23,Düsseldorf,2015,22.666666666666668,294300,492,16176,337944,564,178027,111536,,8632,34392,33130,92083,108008,11356,1182,288783
24,Düsseldorf,2016,21.0,299756,496,16906,344550,570,177956,116757,,7311,30255,30471,87563,102393,34898,1154,294045
25,Düsseldorf,2017,21.0,304410,504,17973,350655,580,179096,119816,259.0,6429,26308,27777,82889,89816,64102,1159,298380
26,Düsseldorf,2018,21.0,307571,502,16061,352030,575,183176,118266,404.0,5645,22568,24962,77702,78259,90912,6249,303
27,Düsseldorf,2019,18.5,310614,503,16800,356351,577,189583,113441,567.0,5010,19287,21823,72259,70955,113360,1501,304195
28,Düsseldorf,2020,16.5,314293,508,18426,362317,585,194909,108660,1144.0,4454,16533,19024,66880,65436,133254,2057,307638
29,Düsseldorf,2021,18.0,317580,511,19692,368102,592,195542,103782,2435.0,4018,14359,16824,63354,62535,146131,3392,310613
30,Essen,2012,25.666666666666668,266528,464,14795,305552,532,197831,64084,,14221,53681,43474,112201,39313,113,642,263645
31,Essen,2013,25.333333333333332,268827,469,15043,307943,537,196104,67534,,11182,43567,40868,107429,57776,392,540,265889
32,Essen,2014,23.666666666666668,271378,479,15065,310756,548,195493,70344,,8937,41618,37827,103952,73777,1825,453,268389
33,Essen,2015,22.666666666666668,274031,481,14971,313472,550,195437,72695,,7279,36385,34439,100347,85476,6572,455,270953
34,Essen,2016,21.0,277737,484,15613,318050,554,195904,75865,,5970,31442,31903,96097,87746,20911,456,274525
35,Essen,2017,21.666666666666668,282160,492,16147,323359,564,197534,78681,155.0,5030,27500,29352,91235,82909,42277,506,278809
36,Essen,2018,22.666666666666668,285071,489,16040,326352,560,201491,77238,234.0,4320,23558,26568,86096,76435,63926,3616,149
37,Essen,2019,19.666666666666668,287883,493,16765,330129,566,206637,73859,373.0,3689,20149,23304,80740,71438,84056,762,284138
38,Essen,2020,19.666666666666668,292043,501,17325,335163,575,212064,70673,698.0,3209,16986,20326,75721,66567,104177,1096,288082
39,Essen,2021,21.0,295738,507,17972,340069,584,211541,70384,1659.0,2842,14410,18030,71339,63845,118992,2079,291537
40,Frankfurt,2012,21.8,308146,453,20601,351326,517,188755,116062,,15174,50971,43499,114906,76143,297,1177,302167
41,Frankfurt,2013,22.5,313385,453,20372,356757,516,187159,122434,,12440,45577,39782,105253,102374,862,1011,307299
42,Frankfurt,2014,23.0,314924,458,20491,358991,522,184316,126283,,10106,39942,36624,99550,117513,4019,947,308701
43,Frankfurt,2015,21.666666666666668,319123,455,20898,363834,519,182556,132096,,8416,34749,34165,95695,123463,15376,920,312784
44,Frankfurt,2016,20.333333333333332,323512,451,21232,369222,515,181670,137246,,7050,30215,31598,91986,112134,43073,1054,317110
45,Frankfurt,2017,20.666666666666668,329398,459,21677,376226,524,182927,141663,410.0,6026,26127,28878,87764,93694,79289,1096,322874
46,Frankfurt,2018,22.333333333333332,333768,456,22358,381530,521,186420,141909,527.0,5159,22429,25709,82794,80938,108853,6666,217
47,Frankfurt,2019,20.0,336413,450,23480,385701,516,194532,134764,821.0,4458,19176,22059,76482,73035,132836,1663,329709
48,Frankfurt,2020,17.0,340295,452,24035,390630,519,201787,127784,1291.0,3859,16182,19092,70727,67305,154039,2180,333384
49,Frankfurt,2021,17.333333333333332,342431,449,24331,394066,516,203620,119615,2304.0,3454,14047,16960,66755,64280,166453,3267,335216
50,Hamburg,2012,20.5,731283,409,48226,841862,471,511011,213365,,35477,135210,112385,385853,145503,696,4046,719170
51,Hamburg,2013,20.636363636363637,738610,411,48254,850335,473,505121,225682,,28744,119399,105282,272529,194579,2097,3912,726542
52,Hamburg,2014,22.818181818181817,742320,428,49373,856031,494,497361,236179,,23648,104553,98189,261740,228954,9103,3737,729924
53,Hamburg,2015,20.545454545454547,750510,430,50243,865967,496,493550,247383,,20151,91255,90997,250945,250466,30079,3837,737730
54,Hamburg,2016,18.90909090909091,761655,432,52285,879843,499,491695,259707,,17290,79273,83582,239323,230627,94514,3969,748578
55,Hamburg,2017,18.454545454545453,771573,438,54134,892367,506,494256,266459,956.0,15154,68913,75504,226823,213894,153824,4181,758293
56,Hamburg,2018,20.90909090909091,783255,438,56640,907426,508,504715,265809,1387.0,13454,59575,67286,213438,200184,211073,13695,2093
57,Hamburg,2019,19.0,794618,434,58821,921354,503,523298,254701,2233.0,11943,51010,58534,198844,189560,265049,5677,780617
58,Hamburg,2020,16.444444444444443,804196,437,62285,935335,508,529621,250058,3395.0,10691,43796,51387,184677,179545,312717,6793,789606
59,Hamburg,2021,16.333333333333332,805780,436,66809,943917,511,520882,248828,7035.0,9726,38494,46021,174080,174211,337463,10465,790460
60,Köln,2012,23.5,438952,436,25892,504710,501,302061,131396,,24166,81655,71635,173014,73894,210,2479,427053
61,Köln,2013,23.5,445134,438,26226,511906,503,298983,139311,,19264,73311,67797,165743,104242,613,2127,433097
62,Köln,2014,22.0,449735,439,26612,517013,505,296211,145802,,15589,63875,63796,160795,130772,3182,1893,439902
63,Köln,2015,23.0,453608,439,26760,522211,505,294829,150340,,12964,55579,58031,156656,147283,13368,2057,445938
64,Köln,2016,20.75,461121,441,27784,531311,508,296493,155778,,10869,48348,53133,151253,138702,48931,2039,453275
65,Köln,2017,21.0,469677,449,29087,542361,518,299172,161675,506.0,9306,41906,48377,145061,128226,86742,1964,461582
66,Köln,2018,21.0,480332,453,30214,554919,523,308304,161866,750.0,8214,36113,43479,137721,118767,125440,8502,514
67,Köln,2019,18.0,482847,447,31012,559093,517,318983,151837,820.0,7207,31036,38374,129336,110928,154960,2230,474071
68,Köln,2020,15.25,490814,452,32096,568753,524,331016,143274,1547.0,6285,26627,33319,120513,103435,188540,2848,481567
69,Köln,2021,15.75,492402,453,33143,573199,527,326277,137673,3204.0,5661,23270,29516,114393,99918,205451,4460,482669
70,Leipzig,2012,26.0,200054,383,13484,226527,433,157308,39713,,9747,39109,34168,87496,27419,52,532,198523
71,Leipzig,2013,25.333333333333332,203571,383,13570,230691,434,157598,42717,,7670,35009,32276,85499,40892,236,453,1536
72,Leipzig,2014,26.333333333333332,207526,398,13685,235170,452,157920,45983,,6018,30740,30154,83604,53625,1302,428,205872
73,Leipzig,2015,23.333333333333332,211787,398,13845,240178,452,158402,49549,,4847,26782,28105,81500,63599,4642,454,210019
74,Leipzig,2016,22.666666666666668,216206,397,14006,245315,451,158947,53273,,3961,22950,25730,78859,67199,15157,442,214298
75,Leipzig,2017,21.333333333333332,220026,404,14512,250184,459,159613,56144,170.0,3340,19898,23293,74836,66014,30062,509,217952
76,Leipzig,2018,23.666666666666668,223734,399,15240,255092,455,161872,57244,302.0,2883,17085,20723,70511,63316,46343,2241,148
77,Leipzig,2019,19.0,227314,391,15804,259804,446,164475,57378,608.0,2499,14624,18133,65991,61080,61578,996,224901
78,Leipzig,2020,17.0,230074,391,16451,263627,448,165623,58036,743.0,2222,12328,15776,61211,58600,76104,1143,227384
79,Leipzig,2021,17.0,232677,392,17400,268060,452,164873,58451,1359.0,2047,10605,14032,56503,56330,88430,1779,229726
80,München,2012,22.25,663127,490,28760,755823,559,419398,238535,,31742,103461,97330,237557,168693,936,7698,647417
81,München,2013,23.75,674394,489,31259,771625,560,414201,254025,,26717,90768,88775,222913,218484,2635,8297,658589
82,München,2014,21.0,684713,493,32174,784628,565,409836,267568,,22679,78341,80826,211288,248066,20067,7206,668473
83,München,2015,21.25,691050,491,32521,794301,564,406490,276249,,19081,68388,73814,200127,255819,50064,6632,674645
84,München,2016,19.5,705476,493,34835,812545,568,407863,287868,,17436,59221,66742,189042,218485,131358,6604,688888
85,München,2017,21.5,722384,505,35381,831096,581,411560,300255,1570.0,15577,51669,59993,177710,192869,200772,6849,705439
86,München,2018,20.25,727179,501,36793,838275,578,424574,288961,2287.0,14000,44746,52779,165291,173195,252961,17399,1352
87,München,2019,18.0,725690,498,38210,838726,576,437002,270546,3122.0,10541,38208,45620,151703,159998,300578,5805,712453
